SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Label,CLV,Churn_Probability,Revenue_At_Risk
0,1,29.85,29.85,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,No,29.85,0.6111512338078197,18.242864329163417
0,34,56.95,1889.5,0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,No,1936.3000000000002,0.07406642033276743,143.4148096903376
0,2,53.85,108.15,1,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Yes,107.7,0.6580154245533076,70.86826122439123
0,45,42.3,1840.75,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,No,1903.4999999999998,0.04899757596755243,93.26688585423604
0,2,70.7,151.65,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Yes,141.4,0.8383159367127558,118.53787345118369
0,8,99.65,820.5,1,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,Yes,797.2,0.9350913394842597,745.4548158368519
0,22,89.1,1949.4,0,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,No,1960.1999999999998,0.4811319662603888,943.114880263614
0,10,29.75,301.9,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,No,297.5,0.2519125837512919,74.94399366600933
0,28,104.8,3046.05,1,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,Yes,2934.4,0.7317223963938123,2147.166199978003
0,62,56.15,3487.95,0,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,No,3481.2999999999997,0.06570822273270671,228.75003579937186
0,13,49.95,587.45,0,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,No,649.35,0.13679978069613155,88.83093759503302
0,16,18.95,326.8,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,No,303.2,0.05190169900001893,15.73659513680574
0,58,100.35,5681.1,0,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,No,5820.299999999999,0.34966126739857023,2035.1334746398982
0,49,103.7,5036.3,1,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,Yes,5081.3,0.7046935189002828,3580.759177588007
0,25,105.5,2686.05,0,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,No,2637.5,0.46540727689068184,1227.5116927991733
0,69,113.25,7895.15,0,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,No,7814.25,0.07899574859377607,617.2925284489147
0,52,20.65,1022.95,0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,No,1073.8,0.040914477346603896,43.93396577478326
0,71,106.7,7382.25,0,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,No,7575.7,0.2084021709200949,1578.7923262393629
0,10,55.2,528.35,1,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,Yes,552.0,0.5245135959467663,289.531504962615
0,21,90.05,1862.9,0,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,No,1891.05,0.633682708996632,1198.325686848081
1,1,39.65,39.65,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,Yes,39.65,0.9598610258942566,38.058489676707275
0,12,19.8,202.25,0,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,No,237.60000000000002,0.06732735406314923,15.996979325404258
0,1,20.15,20.15,1,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,Yes,20.15,0.7397254670488427,14.905468161034179
0,58,59.9,3505.1,0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,No,3474.2,0.04627331874148235,160.76276397165796
0,49,59.6,2970.3,0,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,No,2920.4,0.13035062924439345,380.6759776453266
0,30,55.3,1530.6,0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,No,1659.0,0.21478127895700005,356.3221417896631
0,47,99.35,4749.15,1,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,Yes,4669.45,0.6896656955213235,3220.359481952044
0,1,30.2,30.2,1,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Yes,30.2,0.696363061684999,21.03016446288697
0,72,90.25,6369.45,0,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,No,6498.0,0.0009902552004740718,6.434678292680519
0,17,64.7,1093.1,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,Yes,1099.9,0.5294756734100037,582.3702931836631
1,71,96.35,6766.95,0,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,No,6840.849999999999,0.029530854480375214,202.01614587207476
1,2,95.5,181.65,0,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,No,191.0,0.8572797762686892,163.74043726731963
0,27,66.15,1874.45,0,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,No,1786.0500000000002,0.09717297174487534,173.55578618493462
0,1,20.2,20.2,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,No,20.2,0.5808354518226146,11.732876126816816
1,1,45.25,45.25,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,No,45.25,0.6573179525933022,29.743637354846925
0,72,99.9,7251.7,0,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,No,7192.8,0.060682534524811454,436.47733433006385
0,5,69.7,316.9,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Yes,348.5,0.7930798380370079,276.3883235558973
0,46,74.8,3548.3,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,No,3440.7999999999997,0.3722454460010251,1280.822130600327
0,34,106.35,3549.25,1,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,Yes,3615.8999999999996,0.7612010919216112,2752.4270282793536
0,11,97.85,1105.4,1,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,Yes,1076.35,0.9201514871514324,990.4050531954441
0,10,49.55,475.7,0,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,No,495.5,0.14015824900604748,69.44841238249653
0,70,69.2,4872.35,0,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,No,4844.0,0.042840375421717446,207.5187785427993
0,17,20.75,418.25,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,No,352.75,0.04858111456941154,17.13698816435992
0,63,79.85,4861.45,0,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,True,False,False,No,5030.549999999999,0.02636356408516939,132.62322730864886
0,13,76.2,981.45,0,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,No,990.6,0.2552564731377806,252.85706229028548
0,49,84.5,3906.7,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,No,4140.5,0.6344720667681877,2627.0315924536812
0,2,49.25,97.0,0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,No,98.5,0.5017961382434425,49.426919616979085
0,2,80.65,144.15,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,Yes,161.3,0.8714166099514137,140.55949918516305
0,52,79.75,4217.8,0,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,No,4147.0,0.03128949208534686,129.75752367793342
0,69,64.15,4254.1,0,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,No,4426.35,0.06188285265185787,273.9151648355511
1,43,90.25,3838.75,0,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,No,3880.75,0.592918332384182,2300.9678183999144
0,15,99.1,1426.4,1,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,Yes,1486.5,0.6275721070420753,932.885937118045
1,25,69.5,1752.65,0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,No,1737.5,0.13309453114052613,231.25174785666417
1,8,80.65,633.3,1,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,Yes,645.2,0.8543181065551403,551.2060423493765
1,60,74.85,4456.35,0,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,True,False,False,No,4491.0,0.07906039499330181,355.0602339149184
1,18,95.45,1752.55,1,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,Yes,1718.1000000000001,0.8374433365823509,1438.8113965821371
0,63,99.65,6311.2,0,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,No,6277.950000000001,0.2590412101560343,1626.2477652990758
1,66,108.45,7076.35,0,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,No,7157.7,0.27301404998809004,1954.152665599752
0,34,24.95,894.3,0,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,No,848.3,0.01358519425403477,11.524320285697696
0,72,107.5,7853.7,0,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,No,7740.0,0.15494403011331437,1199.2667930770533
0,47,100.5,4707.1,0,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,No,4723.5,0.6714797909931353,3171.7347927560745
0,60,89.9,5450.7,0,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,No,5394.0,0.3933858182152572,2121.923103453097
0,72,42.1,2962.0,0,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,No,3031.2000000000003,0.039631071152560905,120.12970287764263
0,18,54.4,957.1,0,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,No,979.1999999999999,0.15917627640432758,155.86540985511755
0,9,94.4,857.25,1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,Yes,849.6,0.8731390445536305,741.8189322527644
0,3,75.3,244.1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,No,225.89999999999998,0.5464316126295404,123.43890129301317
0,47,78.9,3650.35,0,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,No,3708.3,0.26652974929752377,988.3722693200074
0,31,79.2,2497.2,0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,No,2455.2000000000003,0.04671923634532147,114.7050690750333
0,50,20.15,930.9,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,No,1007.4999999999999,0.002529943744096359,2.5489183221770815
0,10,79.85,887.35,0,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,No,798.5,0.3610493223289593,288.29788387967403
0,1,49.05,49.05,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,No,49.05,0.6196277052025089,30.392738940183058
0,52,20.4,1090.65,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,No,1060.8,0.0738514204113404,78.34158677234988
1,64,111.6,7099.0,0,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,No,7142.4,0.15215794298676336,1086.7728919886586
0,62,24.25,1424.6,0,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,No,1503.5,0.0061561334429468964,9.25574663147066
0,3,64.5,177.4,0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,No,193.5,0.297849669394564,57.63391102784813
1,56,110.5,6139.5,0,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,No,6188.0,0.4149242090884493,2567.5510058393243
0,46,55.65,2688.85,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,No,2559.9,0.1610442673908497,412.25722009383617
0,8,54.65,482.25,0,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,No,437.2,0.1564668191565987,68.40729333526495
1,30,74.75,2111.3,0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,No,2242.5,0.2565676967282426,575.353059913084
0,45,25.9,1216.6,0,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,No,1165.5,0.04802603133503541,55.974339520983776
0,1,79.35,79.35,1,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,Yes,79.35,0.889412700614994,70.57489779379976
0,11,50.55,565.35,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,No,556.05,0.28518073228989366,158.57474618979535
0,7,75.15,496.9,1,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,Yes,526.0500000000001,0.7904766213163215,415.83022664345094
0,42,103.8,4327.5,0,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,No,4359.599999999999,0.39188512616478677,1708.4623960280042
0,49,20.15,973.35,0,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,No,987.3499999999999,0.009637119331108931,9.515209771570403
0,9,99.3,918.75,0,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,No,893.6999999999999,0.7524554512532269,672.4694367850088
0,35,62.15,2215.45,0,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,No,2175.25,0.10459473348105337,227.51969400466135
0,48,20.65,1057.0,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,No,991.1999999999999,0.029132241878600376,28.87587815006869
0,46,19.95,927.1,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,No,917.6999999999999,0.012552780755463204,11.519686899288581
0,29,33.75,1009.25,0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,No,978.75,0.3270135657221161,320.06452745052115
0,30,82.05,2570.2,0,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,No,2461.5,0.3420962348415412,842.0698820624538
1,1,74.7,74.7,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,No,74.7,0.6835505909148916,51.0612291413424
0,66,84.0,5714.25,0,True,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,No,5544.0,0.027763559135629338,153.92117184792906
0,65,111.05,7107.0,0,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,No,7218.25,0.23073539094831844,1665.5057357126996
0,72,100.9,7459.05,0,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,No,7264.8,0.09802576119825025,712.1375499530485
0,12,78.95,927.35,1,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Yes,947.4000000000001,0.585379961599147,554.5889756190319
0,71,66.85,4748.7,0,True,True,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,No,4746.349999999999,0.07816136944874442,370.98121588304804
0,5,21.05,113.85,1,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,Yes,105.25,0.42008028142216064,44.21344961968241
0,52,21.0,1107.2,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,No,1092.0,0.027784462417681673,30.340632960108387
1,25,98.5,2514.5,1,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,Yes,2462.5,0.7822466181873015,1926.2822972862298
0,1,20.2,20.2,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,No,20.2,0.634765995783464,12.822273114825974
0,1,19.45,19.45,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,No,19.45,0.5285348001059693,10.280001862061102
0,38,95.0,3605.6,0,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,No,3610.0,0.16114316330270348,581.7268195227596
1,66,45.55,3027.25,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,No,3006.2999999999997,0.12667214131645657,380.8144584396634
0,68,110.0,7611.85,1,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,Yes,7480.0,0.4723951186275304,3533.5154873339275
0,5,24.3,100.2,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,No,121.5,0.49051775229113465,59.59790690337286
0,72,104.15,7303.05,0,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,True,False,No,7498.8,0.13767273485996864,1032.380304167933
0,32,30.15,927.65,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,No,964.8,0.06501877557735783,62.730114677034834
0,43,94.35,3921.3,0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,No,4057.0499999999997,0.29809505944532183,1209.386560922643
0,72,19.4,1363.25,0,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,No,1396.8,0.010072224072203283,14.068882584053545
0,55,96.75,5238.9,1,True,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,Yes,5321.25,0.6124040466691567,3258.75503333825
0,52,57.95,3042.25,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,No,3013.4,0.12664535274425667,381.63310595954306
0,43,91.65,3954.1,0,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,No,3940.9500000000003,0.44096450968431733,1737.8190844404105
