SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_Type,Churn_Label,TenureGroup,ChargeGroup,Revenue,CLV,CLV_Segment,RiskScore,RiskLevel
0,1,29.85,29.85,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Month-to-month,No,0-12,Low,29.85,29.85,Low Value,5,High Risk
0,34,56.95,1889.5,0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,One year,No,24-48,Medium,1936.3000000000002,1936.3000000000002,Medium Value,0,Low Risk
0,2,53.85,108.15,1,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Month-to-month,Yes,0-12,Medium,107.7,107.7,Low Value,5,High Risk
0,45,42.3,1840.75,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,One year,No,24-48,Medium,1903.4999999999998,1903.4999999999998,Medium Value,0,Low Risk
0,2,70.7,151.65,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Month-to-month,Yes,0-12,High,141.4,141.4,Low Value,6,High Risk
0,8,99.65,820.5,1,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,Month-to-month,Yes,0-12,High,797.2,797.2,Medium Value,5,High Risk
0,22,89.1,1949.4,0,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,Month-to-month,No,12-24,High,1960.1999999999998,1960.1999999999998,Medium Value,3,Medium Risk
0,10,29.75,301.9,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Month-to-month,No,0-12,Low,297.5,297.5,Low Value,5,High Risk
0,28,104.8,3046.05,1,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,Month-to-month,Yes,24-48,High,2934.4,2934.4,High Value,3,Medium Risk
0,62,56.15,3487.95,0,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,One year,No,48+,Medium,3481.2999999999997,3481.2999999999997,High Value,0,Low Risk
